Year	Month	treering	D13C
1964	Nov	-9999	-9999
1964	Dec	-9999	-9999
1965	Jan	-9999	-9999
1965	Feb	-9999	-9999
1965	March	-9999	-9999
1965	April	-9999	-9999
1965	May	-9999	-9999
1965	June	-9999	-9999
1965	July	-9999	-9999
1965	Aug	-9999	-9999
1965	Sep	-9999	-9999
1965	Oct	-9999	-9999
1965	Nov	-9999	-9999
1965	Dec	-9999	-9999
1966	Jan	-9999	-9999
1966	Feb	-9999	-9999
1966	March	-9999	-9999
1966	April	-9999	-9999
1966	May	-9999	-9999
1966	June	-9999	-9999
1966	July	-9999	-9999
1966	Aug	-9999	-9999
1966	Sep	-9999	-9999
1966	Oct	-9999	-9999
1966	Nov	-9999	-9999
1966	Dec	-9999	-9999
1967	Jan	-9999	-9999
1967	Feb	-9999	-9999
1967	March	-9999	-9999
1967	April	-9999	-9999
1967	May	-9999	-9999
1967	June	-9999	-9999
1967	July	-9999	-9999
1967	Aug	-9999	-9999
1967	Sep	-9999	-9999
1967	Oct	-9999	-9999
1967	Nov	-9999	-9999
1967	Dec	-9999	-9999
1968	Jan	-9999	-9999
1968	Feb	-9999	-9999
1968	March	-9999	-9999
1968	April	-9999	-9999
1968	May	-9999	-9999
1968	June	-9999	-9999
1968	July	-9999	-9999
1968	Aug	-9999	-9999
1968	Sep	-9999	-9999
1968	Oct	-9999	-9999
1968	Nov	-9999	-9999
1968	Dec	-9999	-9999
1969	Jan	-9999	-9999
1969	Feb	-9999	-9999
1969	March	-9999	-9999
1969	April	-9999	-9999
1969	May	-9999	-9999
1969	June	-9999	-9999
1969	July	-9999	-9999
1969	Aug	-9999	-9999
1969	Sep	-9999	-9999
1969	Oct	-9999	-9999
1969	Nov	-9999	-9999
1969	Dec	-9999	-9999
1970	Jan	-9999	-9999
1970	Feb	-9999	-9999
1970	March	-9999	-9999
1970	April	-9999	-9999
1970	May	-9999	-9999
1970	June	-9999	-9999
1970	July	-9999	-9999
1970	Aug	-9999	-9999
1970	Sep	-9999	-9999
1970	Oct	-9999	-9999
1970	Nov	-9999	-9999
1970	Dec	-9999	-9999
1971	Jan	-9999	-9999
1971	Feb	-9999	-9999
1971	March	-9999	-9999
1971	April	-9999	-9999
1971	May	-9999	-9999
1971	June	-9999	-9999
1971	July	-9999	-9999
1971	Aug	-9999	-9999
1971	Sep	-9999	-9999
1971	Oct	-9999	-9999
1971	Nov	-9999	-9999
1971	Dec	-9999	-9999
1972	Jan	-9999	-9999
1972	Feb	-9999	-9999
1972	March	-9999	-9999
1972	April	-9999	-9999
1972	May	-9999	-9999
1972	June	-9999	-9999
1972	July	-9999	-9999
1972	Aug	-9999	-9999
1972	Sep	-9999	-9999
1972	Oct	-9999	-9999
1972	Nov	-9999	-9999
1972	Dec	-9999	-9999
1973	Jan	-9999	-9999
1973	Feb	-9999	-9999
1973	March	-9999	-9999
1973	April	-9999	-9999
1973	May	-9999	-9999
1973	June	-9999	-9999
1973	July	-9999	-9999
1973	Aug	-9999	-9999
1973	Sep	-9999	-9999
1973	Oct	-9999	-9999
1973	Nov	-9999	-9999
1973	Dec	-9999	-9999
1974	Jan	-9999	-9999
1974	Feb	-9999	-9999
1974	March	-9999	-9999
1974	April	-9999	-9999
1974	May	-9999	-9999
1974	June	-9999	-9999
1974	July	-9999	-9999
1974	Aug	-9999	-9999
1974	Sep	-9999	-9999
1974	Oct	-9999	-9999
1974	Nov	-9999	-9999
1974	Dec	-9999	-9999
1975	Jan	-9999	-9999
1975	Feb	-9999	-9999
1975	March	-9999	-9999
1975	April	-9999	-9999
1975	May	-9999	-9999
1975	June	-9999	-9999
1975	July	-9999	-9999
1975	Aug	-9999	-9999
1975	Sep	-9999	-9999
1975	Oct	-9999	-9999
1975	Nov	-9999	-9999
1975	Dec	-9999	-9999
1976	Jan	-9999	-9999
1976	Feb	-9999	-9999
1976	March	-9999	-9999
1976	April	-9999	-9999
1976	May	-9999	-9999
1976	June	-9999	-9999
1976	July	-9999	-9999
1976	Aug	-9999	-9999
1976	Sep	-9999	-9999
1976	Oct	-9999	-9999
1976	Nov	-9999	-9999
1976	Dec	-9999	-9999
1977	Jan	-9999	-9999
1977	Feb	-9999	-9999
1977	March	-9999	-9999
1977	April	-9999	-9999
1977	May	-9999	-9999
1977	June	-9999	-9999
1977	July	-9999	-9999
1977	Aug	-9999	-9999
1977	Sep	-9999	-9999
1977	Oct	-9999	-9999
1977	Nov	-9999	-9999
1977	Dec	-9999	-9999
1978	Jan	-9999	-9999
1978	Feb	-9999	-9999
1978	March	-9999	-9999
1978	April	-9999	-9999
1978	May	-9999	-9999
1978	June	-9999	-9999
1978	July	-9999	-9999
1978	Aug	-9999	-9999
1978	Sep	-9999	-9999
1978	Oct	-9999	-9999
1978	Nov	-9999	-9999
1978	Dec	-9999	-9999
1979	Jan	-9999	-9999
1979	Feb	-9999	-9999
1979	March	-9999	-9999
1979	April	-9999	-9999
1979	May	-9999	-9999
1979	June	-9999	-9999
1979	July	-9999	-9999
1979	Aug	-9999	-9999
1979	Sep	-9999	-9999
1979	Oct	-9999	-9999
1979	Nov	-9999	-9999
1979	Dec	-9999	-9999
1980	Jan	-9999	-9999
1980	Feb	-9999	-9999
1980	March	-9999	-9999
1980	April	-9999	-9999
1980	May	-9999	-9999
1980	June	-9999	-9999
1980	July	-9999	-9999
1980	Aug	-9999	-9999
1980	Sep	-9999	-9999
1980	Oct	-9999	-9999
1980	Nov	-9999	-9999
1980	Dec	-9999	-9999
1981	Jan	-9999	-9999
1981	Feb	-9999	-9999
1981	March	-9999	-9999
1981	April	-9999	-9999
1981	May	-9999	-9999
1981	June	-9999	-9999
